username,name,html_url,description,languagepedrohrarruda,Desefa,https://github.com/pedrohrarruda/Desefa,None,C#
microsoft,.github,https://github.com/microsoft/.github,Default Community Health/Policy Files for the Microsoft organization on GitHub,,,,,
microsoft,.Net-Interactive-Kernels-ADS,https://github.com/microsoft/.Net-Interactive-Kernels-ADS,Install and Use .Net Interactive Kernels in ADS,Jupyter Notebook,,,,
microsoft,.NET-Modernization-In-a-Day,https://github.com/microsoft/.NET-Modernization-In-a-Day,.NET Modernization In a Day workshop content,JavaScript,,,,
microsoft,0xDeCA10B,https://github.com/microsoft/0xDeCA10B,Sharing Updatable Models (SUM) on Blockchain,Python,,,,
microsoft,2019-ignite-circuit-playground,https://github.com/microsoft/2019-ignite-circuit-playground,Get started with Circuit Playground Express and the Device Simulator Express,Python,,,,
microsoft,.github,https://github.com/microsoft/.github,Default Community Health/Policy Files for the Microsoft organization on GitHub,,,,,
microsoft,.Net-Interactive-Kernels-ADS,https://github.com/microsoft/.Net-Interactive-Kernels-ADS,Install and Use .Net Interactive Kernels in ADS,Jupyter Notebook,,,,
microsoft,.NET-Modernization-In-a-Day,https://github.com/microsoft/.NET-Modernization-In-a-Day,.NET Modernization In a Day workshop content,JavaScript,,,,
microsoft,0xDeCA10B,https://github.com/microsoft/0xDeCA10B,Sharing Updatable Models (SUM) on Blockchain,Python,,,,
microsoft,2019-ignite-circuit-playground,https://github.com/microsoft/2019-ignite-circuit-playground,Get started with Circuit Playground Express and the Device Simulator Express,Python,,,,
microsoft,.github,https://github.com/microsoft/.github,Default Community Health/Policy Files for the Microsoft organization on GitHub,,,,,
microsoft,.Net-Interactive-Kernels-ADS,https://github.com/microsoft/.Net-Interactive-Kernels-ADS,Install and Use .Net Interactive Kernels in ADS,Jupyter Notebook,,,,
microsoft,.NET-Modernization-In-a-Day,https://github.com/microsoft/.NET-Modernization-In-a-Day,.NET Modernization In a Day workshop content,JavaScript,,,,
microsoft,0xDeCA10B,https://github.com/microsoft/0xDeCA10B,Sharing Updatable Models (SUM) on Blockchain,Python,,,,
microsoft,2019-ignite-circuit-playground,https://github.com/microsoft/2019-ignite-circuit-playground,Get started with Circuit Playground Express and the Device Simulator Express,Python,,,,
pedrohrarruda,Desefa,https://github.com/pedrohrarruda/Desefa,None,C#
pedrohrarruda,if668_2018_2_latex,https://github.com/pedrohrarruda/if668_2018_2_latex,Repositório do segundo trabalho de IC 2018.2, sobre as disciplinas do CIn.,TeX
pedrohrarruda,if668_2018_2_perfil,https://github.com/pedrohrarruda/if668_2018_2_perfil,None,None
pedrohrarruda,MipsCPU,https://github.com/pedrohrarruda/MipsCPU,Implementation of a mips-based processor architecture using SystemVerilog and VHDL,None
pedrohrarruda,Projeto-Comp-Musical,https://github.com/pedrohrarruda/Projeto-Comp-Musical,Projeto de disciplina,HTML
pedrohrarruda,Desefa,https://github.com/pedrohrarruda/Desefa,None,C#
pedrohrarruda,if668_2018_2_latex,https://github.com/pedrohrarruda/if668_2018_2_latex,Repositório do segundo trabalho de IC 2018.2, sobre as disciplinas do CIn.,TeX
pedrohrarruda,if668_2018_2_perfil,https://github.com/pedrohrarruda/if668_2018_2_perfil,None,None
pedrohrarruda,MipsCPU,https://github.com/pedrohrarruda/MipsCPU,Implementation of a mips-based processor architecture using SystemVerilog and VHDL,None
pedrohrarruda,Projeto-Comp-Musical,https://github.com/pedrohrarruda/Projeto-Comp-Musical,Projeto de disciplina,HTML
